Sample	Population_descriptor	Source	Haplotype	Sample_hap	x1	x2
HG00351	Finnish in Finland	1000G	0	HG00351_H1	0.48883435164629946	-1.2087047420323562
HG00351	Finnish in Finland	1000G	1	HG00351_H2	0.49525411670897007	-1.1995547143852165
HG00353	Finnish in Finland	1000G	0	HG00353_H1	0.5098775991366802	-1.1911379045798405
HG00353	Finnish in Finland	1000G	1	HG00353_H2	0.5237802438746912	-1.2075398411327267
HG00355	Finnish in Finland	1000G	0	HG00355_H1	0.49992025839521037	-1.2531906507162613
HG00355	Finnish in Finland	1000G	1	HG00355_H2	0.5076667520019273	-1.2063095648752478
HG00356	Finnish in Finland	1000G	0	HG00356_H1	0.4903263883730325	-1.178355511081606
HG00356	Finnish in Finland	1000G	1	HG00356_H2	0.48845000799851196	-1.2361872533547236
HG00357	Finnish in Finland	1000G	0	HG00357_H1	0.49856510037422647	-1.2069682773408938
HG00357	Finnish in Finland	1000G	1	HG00357_H2	0.4997056310605649	-1.2394546295938345
HG00358	Finnish in Finland	1000G	0	HG00358_H1	0.5072988346476884	-1.1557970683186614
HG00358	Finnish in Finland	1000G	1	HG00358_H2	0.5010957531491951	-1.1565193787301413
HG00360	Finnish in Finland	1000G	0	HG00360_H1	0.4995485695282696	-1.227934366791973
HG00360	Finnish in Finland	1000G	1	HG00360_H2	0.4806973097617266	-1.2329920386939444
HG00362	Finnish in Finland	1000G	0	HG00362_H1	0.4934207821512796	-1.2398939797931083
HG00362	Finnish in Finland	1000G	1	HG00362_H2	0.5041511373197036	-1.1651899695179382
HG00364	Finnish in Finland	1000G	0	HG00364_H1	0.4821584544993335	-1.1987553454164734
HG00364	Finnish in Finland	1000G	1	HG00364_H2	0.5038431704792722	-1.1879760837140811
HG00365	Finnish in Finland	1000G	0	HG00365_H1	0.5123859672308867	-1.184410484995979
HG00365	Finnish in Finland	1000G	1	HG00365_H2	0.5071454928609866	-1.1853435158791537
HG00366	Finnish in Finland	1000G	0	HG00366_H1	0.4984948870987567	-1.1733735723552117
HG00366	Finnish in Finland	1000G	1	HG00366_H2	0.49731558686948596	-1.2021287033807622
HG00367	Finnish in Finland	1000G	0	HG00367_H1	0.5137296379921543	-1.1430721881586834
HG00367	Finnish in Finland	1000G	1	HG00367_H2	0.5099995930447861	-1.1898570540369464
HG00368	Finnish in Finland	1000G	0	HG00368_H1	0.4947058613834554	-1.1584680180891394
